时间,排名,角色名,热度值,粉丝数
2026-02-25 23:56:47,1,秦彻,84457,1790000
2026-02-25 23:56:47,2,恋与深空黎深,72323,2020000
2026-02-25 23:56:47,3,祁煜,65457,2050000
2026-02-25 23:56:47,4,沈星回,58047,1820000
2026-02-25 23:56:47,5,齐司礼,52036,2670000
2026-02-25 23:56:47,6,夏以昼,49087,1120000
2026-02-25 23:56:47,7,光与夜之恋陆沉,11943,2280000
2026-02-26 00:00:26,1,秦彻,84457,1790000
2026-02-26 00:00:26,2,恋与深空黎深,72323,2020000
2026-02-26 00:00:26,3,祁煜,65457,2050000
2026-02-26 00:00:26,4,沈星回,58047,1820000
2026-02-26 00:00:26,5,齐司礼,52036,2670000
2026-02-26 00:00:26,6,夏以昼,49087,1120000
2026-02-26 00:00:26,7,光与夜之恋陆沉,11943,2280000
2026-02-26 00:56:05,1,秦彻,84440,1790000
2026-02-26 00:56:05,2,恋与深空黎深,72363,2020000
2026-02-26 00:56:05,3,祁煜,66706,2050000
2026-02-26 00:56:05,4,沈星回,58069,1820000
2026-02-26 00:56:05,5,齐司礼,52132,2670000
2026-02-26 00:56:05,6,夏以昼,49012,1120000
2026-02-26 00:56:05,7,光与夜之恋陆沉,12023,2280000
2026-02-26 01:51:04,1,祁煜,66854,2050000
2026-02-26 01:51:04,2,沈星回,58080,1820000
2026-02-26 01:51:04,3,秦彻,84336,1790000
2026-02-26 01:51:04,4,恋与深空黎深,72318,2020000
2026-02-26 01:51:04,5,齐司礼,52145,2670000
2026-02-26 01:51:04,6,夏以昼,48933,1120000
2026-02-26 01:51:04,7,光与夜之恋陆沉,12012,2280000
2026-02-26 02:47:40,1,祁煜,100180,2050000
2026-02-26 02:47:40,2,沈星回,91654,1820000
2026-02-26 02:47:40,3,秦彻,83061,1790000
2026-02-26 02:47:40,4,恋与深空黎深,71730,2020000
2026-02-26 02:47:40,5,齐司礼,52049,2670000
2026-02-26 02:47:40,6,夏以昼,47795,1120000
2026-02-26 02:47:40,7,光与夜之恋陆沉,11150,2280000
2026-02-26 03:43:55,1,祁煜,100130,2050000
2026-02-26 03:43:55,2,沈星回,92867,1820000
2026-02-26 03:43:55,3,秦彻,83000,1790000
